,prompt,completion,topics
0,Does employer contributions count toward the 15% we recommend putting into retirement?,"No. We want you to control your destiny, so employer contributions do not count toward the 15%. Consider it ""icing on the cake"".  ","['investing', 'retirement']"
1,I’m 47 and debt-free. Do you think I should stop making contributions to my 401(k) account for an entire year in order to save up an emergency fund? I'm fully funding the 401k and I get a full match?! Why the heck would I do that and miss out on the match and the interest gained?,"I recommend that people put off or stop investing until they are debt-free, except for their home, and have an emergency fund of three to six months of expenses in place. Here’s the way I look at it. If you have no emergency fund, but you’re contributing to your 401(k), there’s a good chance you’ll end up cashing out your 401(k) if a large, unexpected expense comes along. When you cash out a 401(k) early, you get hit with a penalty plus your tax rate. That’s not a good plan! ",['investing']
2,"I have a mortgage that will be paid off in the next two years with no problem, should I pay extra toward the house or invest that money over and above the 15% you recommend putting toward retirement since I will have it paid off soon and can take advantage of two years of interest in my mutual funds?","I would pay extra on the house. You know, a magical thing happens when you pay down a house and sell it somewhere down the road. The money comes back. You didn’t lose it. Honestly, you’re not doing a bad thing by putting it into retirement either. But you don’t know exactly what will happen over the next several years of your life or the life of your investments. You might think you know. You might even have a plan. But the truth is even the best plans don’t always work out the way we want. And if that happens, it sure would be neat to own your home outright! ",['investing']
3,"I know Dave teaches in Baby Step 4 to save 15% towards retirement. My company matches what I save, so does the total of what I'm saving and what they match equal the 15%?","Nope. Ramsey Solutions teaches in Baby Step 4 to save 15% towards retirement. No. we consider that a ""bonus"" (or icing on the cake). You know the match is there, but don't count it and watch what happens. It's going to help you establish the habit of being intentional and preparing for later…especially if the job and/or match goes away.",['investing']
4,Why should I start with the smallest debt instead of the highest interest rate?,"Personal finance is only 20% head knowledge and 80% behavior. Pay off the smallest debts first in order to get some quick wins emotionally. It is the same concept as if you were on a diet and you lose weight in the very first week. Now you are motivated to stay on the diet. If you don’t lose any weight, it’s back to the bear claws and milkshakes. ",['debt snowball']
5,Is it okay to buy furniture or appliances using a rent-to-own plan? ,"No. RTO places promise low monthly or weekly payments, but you'll always end up paying much more than if you saved up and bought the item outright. ",['debt']
6,My fiancé and I are planning to be married in less than a year. We both have debt. Should we wait to have the wedding until we're both debt-free? ,"No. When two people know they really love each other, they should get married whenever they feel in their hearts the time is right. At this point, you shouldn’t be thinking about money as anything except an indicator of where you’re going. It doesn’t matter who got into debt or how, because everyone makes mistakes. But if you’re both serious about getting out of debt, living on less than you make, and are in agreement about how the dollars are going to be handled, then — where money is concerned — you’re ready to be married. ",['marriage']
7,How about having a baby? Should you wait until your debt is paid off? ,"No. If you let money determine whether or not you have kids, you might never have them. It would be just as crazy to let any of your money goals determine your baby timeline: ""We’ll have kids when we’re investing in retirement, or when we’re able to fund their college educations, or when the house is paid off."" Children are worth more than any amount of money, so if you want to be a parent and you and your spouse are ready in every other way, don’t let debt stop you.",['kids']
8,"A debt collector has been calling members of my family for the last two weeks to get information on me. He DID identify himself as a collector, AND I want to pay what I owe, but is it legal for him to do this?","No, it isn’t legal. If he identified himself in any way as a debt collector, and spoke with anyone but you about your debt, he broke the law. This is a violation of the Federal Fair Debt Collection Practices Act. You need to file a complaint with the Federal Trade Commission (FTC) against this collector and his company.",['debt collection']
9,Are credit cards and student loans “secured debts” or “unsecured debts”?,"They are ""unsecured debts""…which means you were loaned money, but there isn't a lien on anything. Meaning there's nothing that can directly be repossessed if the borrower doesn't pay. (However, they can sue you eventually, and then get a lien against something AFTER they win a lawsuit.). A home mortgage loan and a car loan are examples of ""secured debt"". If you don't pay, they can foreclose and take the house. The same is true with a car loan. If you don’t make the payments, they can take the car. Side note: If you're in financial trouble, you’d make the car payment before paying on your student loan, and you’d make your house payment before paying on a credit card.",['credit cards']
